,Code,Year,Schizophrenia disorders,Depressive disorders,Anxiety disorders,Bipolar disorders,Eating disorders
136,EU27,2006,0.27732491,3.5721512,4.9907336,0.8215578,0.38193128
137,EU27,2007,0.27745906,3.5780063,5.0318336,0.82234687,0.38513735
138,EU27,2008,0.27759385,3.5898798,5.078652,0.823203,0.38838235
139,EU27,2009,0.27772003,3.6016078,5.119985,0.8240937,0.39120457
140,EU27,2010,0.27782178,3.608386,5.1444182,0.82496655,0.3935519
141,EU27,2011,0.27805576,3.608325,5.1589575,0.82583547,0.39565927
142,EU27,2012,0.27849084,3.6031435,5.1761756,0.8266305,0.39742124
143,EU27,2013,0.2789921,3.5950396,5.1929975,0.82732517,0.39904457
144,EU27,2014,0.27942643,3.58908,5.206661,0.82792765,0.40058085
145,EU27,2015,0.27965105,3.5878563,5.214255,0.82844853,0.40246058
146,EU27,2016,0.27989194,3.5901577,5.2075443,0.828909,0.4058884
147,EU27,2017,0.28005883,3.5917804,5.199155,0.8292933,0.40893516
148,EU27,2018,0.27889383,3.5992537,5.186905,0.8296842,0.4107049
149,EU27,2019,0.2762679,3.6144438,5.161444,0.83010626,0.41242015
